job-title,job-description
Software Engineer (Full Stack) - Fin Plat,"ROLE
We are looking for a highly motivated software engineer specializing in server-side web development that is also comfortable working with the entire stack (front-end and infrastructure). You will join a small, expert team building server-side and front-end software for the systems that support sales and service for both vehicle and energy products.   You will also be working on developer tools improve productivity and empower developers across the company.  The ideal candidate will have a passion for building world-class software and a track record of success creating highly and scalable software systems. You will need strong software engineering skills, excellent interpersonal communication, and experience accepting and giving meaningful feedback on technical designs and pull requests.
 RESPONSIBILITIES
 •             Participate in requirements gathering, technical specification, and the design and development of complex software projects
•             Work with product managers, content producers, QA engineers and release engineers to own your solution from development to production
•             Contribute to software architecture design, development of software applications, and integration into enterprise systems
•             Design software architecture based on business requirements, strategy and priorities
•             Promote software engineering best practices via example, participation in code reviews, building tools, and documentation
•             Be nimble and react quickly to changing business conditions and priorities
•             Leverage your existing skills while learning and implementing new technologies
•             Interact with teams of engineers from multiple disciplines
•             Participate in on-call rotation for the team’s mission critical applications
  REQUIREMENTS
 •             BS/MS in Computer Science or equivalent experience and evidence of exceptional ability
•             2+ years of working experience
•             Experience in .NET Framework, .NET Core, package management, and dependency injection
•             Database experience (MySQL, Postgres, SQL Server) and good knowledge in query optimization
•             Experience with distributed architectures and REST APIs
•             Good unit testing and integration testing practices
•             Agile/SCRUM Software Development Process experience
•             Exposure to Go, Node, NPM and other open source technologies
•             Experience with continuous integration and continuous delivery
•             Experience with Docker and Kubernetes
•             Working knowledge of continuous deployment, feature toggles, logging, metrics, monitoring, and alerting
•             Excellent interpersonal communication skills
 "
"Rendering Engineer, Software Infotainment","The Role
We are looking for a motivated real-time rendering engineer to help us advance the software infotainment system in our cars. We are aiming to build the world’s best in-car experience by taking full advantage of our 17-inch display, graphics hardware, and recent advances in features. The ideal candidate is self-driven and looks forward to solving challenging problems. In-car graphics relies heavily on rendering technologies like OpenGL. The ideal candidate is an expert with OpenGL/DirectX and can use it to create real-time rendering techniques such as deferred rendering, HDR, ambient-occlusion, particle systems for snow, rain, etc. We are looking for engineers that can write rendering engines like Unreal, not simply those engineers that use them as a black box.
Responsibilities 
Write GLSL shaders to implement specific real-time rendering effects 
Design and implement real-time rendering techniques.
Design, code, and debug software running on Linux-based development platforms.
Diagnose and fix performance issues related to memory/disk footprint, frame rate, and network bandwidth.
Work with a cross-functional team of hardware engineers, application/UI software engineers, QA/Validation, and designers.
Requirements
Proficient in C and C++.
Proficient in OpenGL and OpenGL ES2.
Experience writing and shipping real-time rendering techniques, like shadow maps, etc.
Good understanding of the rendering pipeline, from the perspective of an engineer building a game rendering engine.
High standards for code quality, maintainability, and performance.
Experience with video game rendering architectures is a plus."
"Staff Site Reliability Engineer, Factory Software Systems","Role
The Core Automation Services (CAS) team at Tesla is building applications to enable manufacturing, with an eye towards reliability, availability, scalability, speed and security. We're a diverse team composed of Controls Automation Engineers, Software Engineers, and various other disciplines that help facilitate automated manufacturing processes.
As an SRE on the CAS team you'll be working with the infrastructure, systems and applications that act as the middleware layer between Programmable Logic Controllers (PLCs) and the outside world, such as Databases, MES systems and other services.
 Responsibilities
Support interim HMI/SCADA vendor application (Ignition from Inductive Automation)
Building tooling around it, evaluating its usage, and helping to ensure its reliability, availability and security
Design software and systems that enable automated manufacturing at Tesla
Assist Software, Controls, Manufacturing and other types of Engineers with onboarding and integrating services into the Tesla stack (Kubernetes/VMWare/Bare-metal)
Ensuring best practices and observability of the service, such as metrics, logging, tracing, and alerting
Automate configuration and deployment of services
Consult on and design infrastructure, systems and application architecture
 Requirements
3+ years as DevOps/Site Reliability Engineer
Experience with Virtualization or Containerization (VMWare/Kubernetes preferred, or Xen, OpenStack, etc.)
Expert skills in Linux and its administration (Ubuntu preferred, or CentOS, RHEL, etc.)
Understanding of networking (Routing/Switching, VLANs, Firewalls, Load Balancers)
Understand the concepts of Observability and Infrastructure as Code (Prometheus, AlertManager, Grafana, Jaeger and/or Splunk)
Able to read/understand code (Bash, Python, Java, Go preferred, or any other high level alternative)
CI/CD pipeline experience (GitLab preferred, or Jenkins/CircleCI/TravisCI, etc.)
Systems Automation (Ansible preferred, or Chef/Puppet)
Artifact storage/retrieval (Artifactory preferred, or alternative)
Monitoring/Visualization (Prometheus/AlertManager/Gafana/OpsGenie preferred, or TICK stack, Nagios, Zabbix, PagerDuty, etc.)
Secrets management (Hashicorp Vault and Ansible-Vault preferred, or Azure Key Vault, AWS Secrets Manager, etc.)
Understand the concepts of Observability and Infrastructure as Code
Comfortable on an on-call rotation
Comfortable doing live troubleshooting of issues on NOC bridges/outage calls
Habitual documenter and spreader of knowledge
Willing to mentor other team members and engineers with less SWE/IT type knowledge
Strong bias for action vs endless planning, willing to get hands dirty and make mistakes sometimes"
Software Engineer (Full Stack) - Fin Plat,"ROLE
We are looking for a highly motivated software engineer specializing in server-side web development that is also comfortable working with the entire stack (front-end and infrastructure). You will join a small, expert team building server-side and front-end software for the systems that support sales and service for both vehicle and energy products.   You will also be working on developer tools improve productivity and empower developers across the company.  The ideal candidate will have a passion for building world-class software and a track record of success creating highly and scalable software systems. You will need strong software engineering skills, excellent interpersonal communication, and experience accepting and giving meaningful feedback on technical designs and pull requests.
 RESPONSIBILITIES
 •             Participate in requirements gathering, technical specification, and the design and development of complex software projects
•             Work with product managers, content producers, QA engineers and release engineers to own your solution from development to production
•             Contribute to software architecture design, development of software applications, and integration into enterprise systems
•             Design software architecture based on business requirements, strategy and priorities
•             Promote software engineering best practices via example, participation in code reviews, building tools, and documentation
•             Be nimble and react quickly to changing business conditions and priorities
•             Leverage your existing skills while learning and implementing new technologies
•             Interact with teams of engineers from multiple disciplines
•             Participate in on-call rotation for the team’s mission critical applications
  REQUIREMENTS
 •             BS/MS in Computer Science or equivalent experience and evidence of exceptional ability
•             2+ years of working experience
•             Experience in .NET Framework, .NET Core, package management, and dependency injection
•             Database experience (MySQL, Postgres, SQL Server) and good knowledge in query optimization
•             Experience with distributed architectures and REST APIs
•             Good unit testing and integration testing practices
•             Agile/SCRUM Software Development Process experience
•             Exposure to Go, Node, NPM and other open source technologies
•             Experience with continuous integration and continuous delivery
•             Experience with Docker and Kubernetes
•             Working knowledge of continuous deployment, feature toggles, logging, metrics, monitoring, and alerting
•             Excellent interpersonal communication skills
 "
"Software Engineer, Mobile","The Role
We are looking for a highly motivated mobile engineer specializing in creating exceptional user experiences for our users. You will need strong software engineering skills, excellent interpersonal communication, and experience accepting and giving meaningful feedback on technical designs. You will be responsible for the look and feel of the user experience, architecture, and front-end graphics. You will need to collaborate with our top-notch design team and back end developers. Our goal is to set the bar for what vehicle mobile user experience can be. We want to work with people who are excited by this goal and have the talent to deliver on it.

Responsibilities
Design, code and maintain mobile user experiences end-to-end.
Optimize code for performance, stability and maintainability.
Work with a cross-functional team of hardware engineers, application/UI software engineers, QA/Validation, and designers

Requirements
Bachelor’s Degree in Computer Science, Software Engineering, or similar areas of study. Minimum 2 years’ experience in Mobile (iOS/Android) development.
Proficient in Objective-C or Android.
Familiar with JavaScript. Experience with React/React Native is preferred.
Excellent grasp of fundamental computer science concepts, good at solving complex technical problem.
Experience using common design patterns. High standards for code quality, maintainability, and performance.
Experience creating, maintaining and shipping top-ranking mobile apps is preferred."
Sr. Embedded Software / Firmware Engineer - Tesla Energy,"The Role
Tesla Energy is looking for an amazing Firmware Engineer to drive next generation designs and improve current designs.  This role entails significant ownership of our world class Energy product firmware, ranging from architecture, implementation, through validation and ongoing fleet improvements.
 Responsibilities
Develop, enhance and debug new and existing real-time firmware in C and C++.
Drive firmware development for performance, scalability, modularity, robustness, and tight integration with the hardware.
Hands-on hardware bring up, system debugging and code optimization.
Implement continuous improvements and best practices within the team, and larger organization.
Drive firmware/hardware co-design for optimized solutions and schedules.
Requirements
BS or higher in Engineering, Computer Science, Physics or proof of exceptional skills in related fields, with practical engineering experience.
Experience with WiFi, ethernet, or cellular on embedded systems. 
Capable of delivering top quality C and C++ code in a real time embedded environment.
Expert software fundamentals including architectural design, algorithm development, data structures, code modularity, and maintainability.
Significant multithreaded and RTOS experience.
Desired to have experience implementing firmware for power conversion, thermal controls, battery management, or other highly physical product implementations. 
Desired to have test driven development experience using unit testing, software in the loop, and hardware in the loop methodologies.  Our developers participate significantly in firmware testing, so a validation mindset is required.
Remain engaged, proactive and positive while solving very challenging problems. 
Own assignments and take full accountability for overall team success."
"Full Stack Developer, Toolbox Software","The Role
At Tesla, Service Engineering exists uniquely at the intersection of firmware/hardware design, service, diagnostics, manufacturing, quality, and reliability. Service Engineering multiplies efforts of service in the areas of diagnostics, repairs, and maintenance, while simultaneously reducing the need for each. Our mission is to ensure that customer's vehicle is diagnosed accurately, reliably and as quickly as possible with the feedback mechanisms to enable continuous improvement of diagnostics. Our vision is to have a diagnostic strategy and software that ensures our vehicles do not have to come to service for diagnosis.
As a Full-stack Developer in Service Engineering, you will be responsible for specifying, building, and maintaining the next generation of diagnostic tooling for our vehicles and energy products. You’ll be part of one of our multidisciplinary product team, where you will build both back-end and front-end systems, and work closely with product managers, engineers, operations, and data analysts.

Responsibilities:
Help with our impending goals of improving diagnostic simplicity, meeting regulatory compliance and building proactive diagnostic systems
Collaborate with a dynamic team utilizing technologies ranging from React and Python to Machine and Deep Learning to aid in accurately and efficiently diagnosing our vehicles
Improve and maintain our web based diagnostics platform
Design and develop new features towards improved diagnostics experience
Debug issues in production, root cause and apply fixes in timely manner
Participate in architectural improvements to support our growing user base
Ship code to production in your first week
Improve application security
Scale our backend api's
Migrate backend to python3
Write new react components in support of new user stories
Increase the stability of notification system
Simplify our code

Requirements:
3+ years of software development experience
BS in Computer Science or equivalent in experience with evidence of exceptional ability
Strong working knowledge of modern JavaScript frameworks (Backbone.js, Angular.js, React.js)
Strong CSS skills, experience working with CSS pre-compilers (SASS, LESS, etc.)
Solid understanding of object oriented programming and functional programming principles
Experience in building highly scalable architectures
Python development experience (2.x,3.x)
Excellent interpersonal, communication, and collaboration skills"
"Rendering Engineer, Software Infotainment","The Role
We are looking for a motivated real-time rendering engineer to help us advance the software infotainment system in our cars. We are aiming to build the world’s best in-car experience by taking full advantage of our 17-inch display, graphics hardware, and recent advances in features. The ideal candidate is self-driven and looks forward to solving challenging problems. In-car graphics relies heavily on rendering technologies like OpenGL. The ideal candidate is an expert with OpenGL/DirectX and can use it to create real-time rendering techniques such as deferred rendering, HDR, ambient-occlusion, particle systems for snow, rain, etc. We are looking for engineers that can write rendering engines like Unreal, not simply those engineers that use them as a black box.
Responsibilities 
Write GLSL shaders to implement specific real-time rendering effects 
Design and implement real-time rendering techniques.
Design, code, and debug software running on Linux-based development platforms.
Diagnose and fix performance issues related to memory/disk footprint, frame rate, and network bandwidth.
Work with a cross-functional team of hardware engineers, application/UI software engineers, QA/Validation, and designers.
Requirements
Proficient in C and C++.
Proficient in OpenGL and OpenGL ES2.
Experience writing and shipping real-time rendering techniques, like shadow maps, etc.
Good understanding of the rendering pipeline, from the perspective of an engineer building a game rendering engine.
High standards for code quality, maintainability, and performance.
Experience with video game rendering architectures is a plus."
Software - Integration Engineering Internship (Spring 2021 and/or Summer 2021),"Disclaimer: This position is expected to start either January/February 2021 or May/June 2021 and continue for a minimum of 12 weeks, up to a maximum of 12 months. Please consider availability before submitting an application.
Our Company
Tesla is accelerating the world’s transition to sustainable energy. We design, manufacture, sell and service the world’s best solar technology, energy storage systems, and electric vehicles, providing customers the opportunity to generate, store and consume energy entirely sustainably.
Tesla is committed to hiring and developing top talent from around the world for any given discipline. Based in California, Tesla’s workforce spans across four continents. We work to build an inclusive environment in which all people, regardless of gender, race, religion, or background, can come to do their best work.
Our world-class teams operate with a non-conventional philosophy of interdisciplinary collaboration. Each member of the team is expected to challenge and to be challenged, to create, and to innovate. We’re tackling the world’s most difficult and important problems—and we wouldn’t succeed without our shared passion for making the world a better place.
Internship Programs at Tesla
The Internship Programs Team is driven by the passion to recognize emerging talent. Our year-round program places the best students in positions that they will grow both technically and personally through their experience working closely with their Manager, Mentor, and team. We are dedicated to providing an experience that allows for the intern to experience life at Tesla by given them projects that are critical to their team’s success.
Instead of going on coffee runs and making copies, you’ll be seated at the table making critical decisions that will influence not only your team, but the overall achievement of Tesla’s mission.
Locations
Palo Alto, CA
About the Team

Tesla's Systems Integration Team is seeking an intern who will be responsible for ensuring firmware support for new vehicle features and new hardware are designed, implemented and tested to achieve Tesla’s standards for safety and customer experience.

The intern is expected to move projects along at an aggressive pace – keeping track of program milestones and deliverables and pulling together the contributions of many teams into a cohesive final product. Our intern is also expected to get their hands dirty in the details of their sub-systems – digging through source code, root causing issues and proposing solutions to complex problems, as well as testing prototype firmware implementations in-vehicle.

The Integration Engineering intern is at the center of the iterative firmware development process and has a broad range of responsibilities.

What to Expect
Bring-up and debug complex systems involving networked microprocessors and software-controller electrical and electrical-mechanical devices for Tesla’s prototype vehicles.
Understand and debug interfaces/interactions required for successful implementation of vehicle level firmware.
Support new firmware and hardware integration into Tesla’s prototype vehicles by carrying out functional verification of new components and/or features.
Work with the cross-discipline development and design engineers throughout the engineering organization to ensure the relevant subsystems are designed with appropriate requirements, interfaces and interactions to achieve specific vehicle functions.
Report and track issues with software and/or hardware releases.
Requirements
Currently working towards a BS, MS, or advanced degree in a relevant engineering program such as Software Engineering, Computer Engineering, Electrical Engineering or Computer Science.
Experience scripting in Python, SQL, MATLAB, and writing software for electromechanical systems in C/C++.
Experience with electronic circuits and analysis, testing, and debugging microcontroller / embedded / electromechanical projects.
Hands-on technical experience debugging complex systems involving networked microprocessors, communication interfaces like CAN, and software-controlled electrical or electromechanical devices.
Understanding of hardware and software development processes.
Exceptional capacity for managing simultaneous activities and challenges.
Creative capacity for developing new ways to integrate complex system better and faster in alignment with the aggressive Tesla approach to revolutionary product development.
Eager to work in an aggressive start-up like company environment with great opportunities for growth and spectacular achievement"
"Software Engineer, Data Platform","Role
Data is deeply embedded in the product and engineering culture at Tesla. We rely on data –  lots of it – to improve autopilot, to optimize hardware designs, to proactively detect faults, and to optimize load on the electrical grid. We collect data from each of our cars, superchargers, and stationary batteries and use it to make these products better and our customers safer.
We're the small but fast-growing team which is building and operating the big data platform for the company. We collect massive amounts of IoT data, provide storage, access, and high-volume processing. Our stack is built on top of open source technologies, including Spark, Kafka, and related.
We're looking for a talented engineer to join us as a foundational member of the team to deliver new and improved big data services and infrastructure. Your work will affect many hundreds of Tesla engineers daily, as well as improving the functionality of our cars, chargers, and batteries worldwide.

Responsibilities
Employ and improve industry-leading, scalable, distributed open-source technologies
Build back-end systems from scratch that are capable of handling trillion+ events per day
Facilitate operation of highly-available distributed systems at scale and across multiple locations 
Facilitate others in deploying, operating, and extending upon your clean, tested code 
Help define a platform that is highly leveraged, multi-tenant, and self-serviced
Work with data engineers and data scientists to drive efficient solutions from the platform
Help define the data story and enable data-driven solutions at Tesla, both technically and culturally
Requirements
Strong programming fundamentals, particularly in data structures, concurrency, and Java
Deep understanding of a complex distributed system, such as Kafka, Spark, HBase, ElasticSearch
Have built and optimized highly available, scalable, distributed back-end services
Ability to break down and deeply understand complex problems and communicate complex matters efficiently
Strong problem solving skills, optimizing for the simplest, most robust yet practical solutions
Reliable, dependable, trustworthy, participating team member
Smart but humble, with a bias for action
Nice to Have
Proficiency in Python or Scala
Experience with cloud infrastructure such as AWS
Robust DevOps/SRE abilities"
