company,job-title,url,programming-languages,job-description
Waymo,Atmospheric Science Lead,https://waymo.com/joinus/2245501/,"Python, C++, R","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
In this data science role, you will:

Safety evaluation is of fundamental importance to Waymo, and measuring it is subtle.  This role works with a wide variety of teams across the company (onboard software engineering, product, safety, systems engineering) to evaluate the driving and safety performance of Waymo's self driving car. This is based on a wide variety of data from real and simulated driving from Waymoâs self-driving system as well as from external data sources.
The Planner Team is responsible for ""motion planning"" for the self driving car.  This includes gracefully handling many complex situations involving social interactions (merging, negotiating narrow roads, etc), while dealing with a noisy and uncertain environment. Evaluation of this onboard decision-making system is a complex, open-ended problem with tremendous potential impact. The quality of the road maneuvers we execute is subjective, contextual, and geometrically subtle, and evaluation needs apply to a wide variety of conditions with an extremely long tail.

 Additionally:

Analysis and improvement of existing data sources and metrics
Development of novel approaches to measuring and improving
Self-driving performance (either generally, or for motion planning specifically)  
Collaborate with engineers and other data scientists to evaluate and improve core
Waymo technologies, with a focus on bringing statistical depth, general analytical rigor, and accurate causal interpretation of data.

We'd like you to have:

PhD in statistics, math, or other quantitative area
Progressive statistics background either in academia or industry
Data science and system evaluation experience
Willingness to understand a complex system and its various components
Experience with tools for manipulating big data
Experience with R/Python and statistical libraries

It's preferred if you have experience in:

Experience with C++
Familiarity with Spark/MapReduce
Training or interest in geometry or classical physics

"
Waymo,"Autonomous Vehicle Offensive Security, Red Team",https://waymo.com/joinus/2051554/,C,"
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Security is critical to the development and testing of the self driving car (SDC). It enables engineers to rapidly iterate the subtle consequences of any change to the SDC software.
In this Autonomous Vehicle Offensive Security role, you will help ensure the highest level of security of the Waymo autonomous vehicles by engaging with all stages of the development lifecycle, from threat analysis to penetration testing. 
Your goal will be to identify security issues in product designs and/or implementations related to Waymo autonomous vehicles and its connected ecosystem.  
Your responsibilities will include:

Penetration testing of autonomous vehicle systems
Collaborating with engineering on security related information during design/development/testing
Keeping up to date on new vulnerability information and determining its relevance to Waymo
Work with Waymo engineering teams to help them build security knowledge and resolve security related problems
Performing security audits on 3rd party products
Aide in developing security best practices for Waymo engineering

At a minimum weâd like you to have:

5+ years Penetration testing of connected computer systems
5+ years Reverse Engineering software
5+ years Software development (in C or C++)
5+ years Threat modeling
3+ years of experience in Automotive or Embedded security
Curious and inventive thinker. Not afraid to try something new

Itâs preferred if you have:

BS/MS degree in Computer Science or related technical field or equivalent practical experience
3+ years of experience in Software Defined Radio
3+ years of experience in Machine Learning or Computer Vision
3+ years of experience in Sensors, Lidar, and Radar

 
"
Waymo,"Autonomous Vehicle, Security Engineer",https://waymo.com/joinus/2157172/,C++,"
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Security is critical to the development and testing of the self driving car (SDC). It enables engineers to rapidly iterate the subtle consequences of any change to the SDC software.
Role:
In this Autonomous Vehicle Security role, you will help ensure the highest level of security of the Waymo autonomous vehicles by engaging with all stages of the development lifecycle, from threat analysis to penetration testing. 
Your goal will be to identify security issues in product designs and/or implementations related to Waymo autonomous vehicles and its connected ecosystem.
Your responsibilities will include:

Collaborate with engineering on security during design/development/testing
Develop security related tooling for security and engineering teams
Perform technical security assessments, code audits and design reviews.
Assist with technical solutions to mitigate security vulnerabilities.
Conduct research to identify new attack vectors against Waymo products and services.
Develop Threat Models using industry best practices
Generate security requirements for Waymo engineering and suppliers

At a minimum weâd like you to have:

Bachelor's degree in Computer Science, or a related technical field, or equivalent practical experience.
5+ years of experience in application security and system security.
5+ years of experience in code auditing
5+ years of software development experience
Effective interpersonal and communication skills.

Itâs preferred if you have:

Master's degree in Computer Science or a related technical field.
Relevant work experience in web application security.
Software development experience in C++ or Java.
Embedded Security
Security of Linux based systems
Foundation in, and in-depth technical knowledge of, security engineering, computer and network security, authentication, security protocols and applied cryptography.
Self-motivated and results-oriented.
Not afraid to try something new.

 
"
Waymo,Data Scientist,https://waymo.com/joinus/1284318/,"Python, C++, R","
At Waymo, weâre focused on bringing self-driving technology to the world. Our mission is to make it safe and easy for people and things to move around. Today, our driverless cars are serving our first customers with no drivers behind the wheel. To experience our self-driving technology, see this 360-degree video.
In this data science role, you will:

Safety evaluation is of fundamental importance to Waymo, and measuring it is subtle.  This role works with a wide variety of teams across the company (onboard software engineering, product, safety, systems engineering) to evaluate the driving and safety performance of Waymo's self driving car. This is based on a wide variety of data from real and simulated driving from Waymoâs self-driving system as well as from external data sources.
The Planner Team is responsible for ""motion planning"" for the self driving car.  This includes gracefully handling many complex situations involving social interactions (merging, negotiating narrow roads, etc), while dealing with a noisy and uncertain environment. Evaluation of this onboard decision-making system is a complex, open-ended problem with tremendous potential impact. The quality of the road maneuvers we execute is subjective, contextual, and geometrically subtle, and evaluation needs apply to a wide variety of conditions with an extremely long tail.

 Additionally:

Analysis and improvement of existing data sources and metrics
Development of novel approaches to measuring and improving
Self-driving performance (either generally, or for motion planning specifically)  
Collaborate with engineers and other data scientists to evaluate and improve core
Waymo technologies, with a focus on bringing statistical depth, general analytical rigor, and accurate causal interpretation of data.

We'd like you to have:

PhD in statistics, math, or other quantitative area
Progressive statistics background either in academia or industry
Data science and system evaluation experience
Willingness to understand a complex system and its various components
Experience with tools for manipulating big data
Experience with R/Python and statistical libraries

It's preferred if you have experience in:

Experience with C++
Familiarity with Spark/MapReduce
Training or interest in geometry or classical physics

"
Waymo,"Data Visualization Tools, Full Stack Engineer",https://waymo.com/joinus/1834571/,C++,"
      Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
The Waymo UX Engineering team is building a team to help our internal users to understand and debug our self-driving software stack. In this role, you will focus on building Web-based tools which present the wealth of data generated by the Self-Driving Car in ways that allow for efficiently diagnosing and solving problems
We are looking for a passionate engineer with a track record of bringing awesome products to market. You will work on an Android application to control the car features before and during a ride, to inspire trust in the self-driving systems The team works closely with a small cross-functional team of product managers, designers and UX researchers, as well as the vehicle engineers and AI experts to experiment and iterate towards bringing this technology to customers.
 This position requires experience in three or more of the following:

4+ years of experience in building and shipping a web app from scratch using Googleâs best practices
C++  
3D/OpenGL on web platforms.
Client-server protocols
Focus on pixel-perfect UI, and strong collaboration with UX designers
Strong communication skills, being able to collaborate with the wider Waymo team (product managers, designers, vehicle and robotics engineers, and executives)

Minimum qualifications:

BS/MS in Computer Science or related technical field or equivalent practical experience

Preferred qualifications:

Web Front End
Angular / Typescript
Passion and experience building tools to make users more productive

 
 
"
Waymo,"Experienced Software Engineer, Behavior Prediction",https://waymo.com/joinus/1742132/,"Python, C++","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Software Engineering builds the brains of Waymo's fully self-driving vehicles. Our software allows our vehicles to perceive the world around them, make the right decision for every situation, and deliver people safely to their destinations. We think deeply and solve complex technical challenges in areas like robotics, perception, decision-making and machine learning, while collaborating with hardware and systems engineers. If youâre a software engineer or researcher whoâs curious and passionate about Level 4 autonomous driving, we'd like to meet you.
In this role you will:

Work with world-class experts in the field of autonomous vehicle on software architecture and design, system and module specification, evaluation metrics, specification and implementation of test frameworks and tests
Optimize software to run robustly under tight run-time constraints
Work with experts in machine learning to design and implement tools to efficiently generate compact representations of training data for Machine Learning algorithms, and to optimize deep net performance
Implement user friendly tools to search through data sets, evaluate performance, and analyze evaluation results

Minimum Qualifications:

BS/MS in Computer Science, or equivalent practical experience
At least 5 years industry experience designing, writing, and maintaining production-level code 
Solid understanding of data structures, algorithms, parallel programming,  code optimization, and large scale data processing
Expertise in C++ 

Preferred Qualifications:

Experience writing and maintaining robust safety critical software
Experience in data analysis and optimizing deep net performance
Experience writing modular testable software and developing evaluation metrics
Experience in one or more of Robotics/Machine Learning/Motion Planning
Experience with TensorFlow
Experience in Python

"
Waymo,"Frontend Software Engineer, Simulation",https://waymo.com/joinus/2246692/,,"
      Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
The Simulation Team enables Waymo to simulate and analyze millions of miles of driving every day. We can recreate, modify, and amplify our real-world experience -- or generate entirely new situations from scratch. Our work is central to the development workflow of the onboard self-driving software team, enabling onboard engineers to rapidly iterate and understand the subtle consequences of any change to the system. As powerful as this system is, however, there are still many open problems to solve and much work ahead of us.
As a Frontend Software Engineer in the Simulation team, youâll work on the user-facing infrastructure that all of Waymo uses to model and visualize real-world driving. These web frontends are used by every part of Waymo, including SWEs, PMs, Data Scientists, and Research. These tools are a core part of solving almost every self-driving challenge Waymo faces
In this Frontend Software Engineering role, you'll own user-facing products essential to building the worldâs most experienced driver, such as:

Developing data visualizations that handle vast amounts of data at low latency
Designing game-engine like tools for scripting simulated agents (e.g. pedestrians, vehicles, cyclists)
Implementing workflows for developers to evaluate their self-driving car changes
Collaborate across teams, with Onboard SWEs, Product Managers, Data Science, Operations, and UX
Engineer solutions with an eye towards quality, performance, and stability

At a minimum we'd like you to have:

A BS or MS in Computer Science or a similar discipline. An equivalent amount of real-life experience is also welcome
Experience with modern web frameworks (e.g. Angular, Polymer, TypeScript)
Passionate about infrastructure work: building internal tools, frameworks, and libraries
Comfortable moving quickly and working directly with customers for feedback
Excited about working on self-driving cars!

It's preferred if you have:

Experience building developer productivity tools with a high degree of product excellence
Experience with three.js, or building 3D user interfaces using other frameworks
Experience communicating and coordinating across teams

"
Waymo,"Full Stack Engineer / Backend Engineer, ML Data Infra",https://waymo.com/joinus/1580776/,"C++, JavaScript","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Machine learning is at the core of solving self-driving technology, and data is the rocket fuel of machine learning. The Data Warehouse team, part of the Waymo ML Infra team, focuses on empowering teams at Waymo to leverage the massive amount of data that is critical to training and evaluating state-of-the-art machine learning systems for driving. Some example projects tackled by the team include:

Building web-based data labeling tools with optimized UI/UX to enable Waymoâs labelers to annotate the data efficiently.
Visualizing the massive amount of unlabeled and labeled data to unlock new insights into Waymoâs datasets.
Building state-of-art data analysis tools to help ML practitioners understand their datasets & models.
Building logging & experimentation infrastructure to evaluate the cost & impact of the datasets.
Designing systems to perform quality control & data validation on the datasets.
Adding automation to the labeling workflows to improve the overall efficiency and quality.

The team already manages one of the largest labeled datasets in the entire self-driving industry, and further scaling the dataset efficiently is critical to Waymoâs future success. Join us in this ride to the future, and bring self-driving technology to the world together.
Basic Qualifications:

A BS or MS in Computer Science, similar technical field of study, or equivalent practical experience. 
Passionate about infrastructure work: building internal tools, frameworks, and libraries.
Experience with C++, or modern web stack (e.g. Angular with JS/TS).

Bonus qualifications:

Experience with building scalable systems that process huge amounts of data.
Experience with three.js, or building 3D user interfaces using other frameworks. 
Experience with data analytics, logging, or experimentations.

 

 

    "
Waymo,"Machine Learning Engineer, Simulation Agents",https://waymo.com/joinus/2229501/,C++,"
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Software Engineering builds the brains of Waymo's fully self-driving vehicles. Our software allows our vehicles to perceive the world around them, make the right decision for every situation, and deliver people safely to their destinations. We think deeply and solve complex technical challenges in areas like robotics, perception, decision-making and machine learning, while collaborating with hardware and systems engineers. If youâre a software engineer or researcher whoâs curious and passionate about Level 4 autonomous driving, we'd like to meet you.
In this role, youâll:

Work with a creative team of people who are responsible for ensuring that the behavior of our cars is safe, smooth, and predictable to other road users, which includes gracefully handling many complex situations involving social aspects (merging, negotiating narrow roads, etc), while dealing with noisy, uncertain, and incomplete information.
Frame the open-ended real-world problems into well-defined ML problems; develop and apply cutting-edge ML approaches (deep learning, reinforcement learning, imitation learning, decision trees, etc) to these problems; scale them to Google-sized data pipelines; and streamline them to run in real-time on the cars.
Collaborate with other teams, including the ML infrastructure, perception and systems engineering teams, as well as various research teams such as Waymo research, Google Brain, DeepMind and academia.

At a minimum weâd like you to have:

MS/PHD in Computer Science, Robotics, similar technical field of study, or equivalent practical experience
Experience solving problems using Machine Learning with Tensorflow or equivalent tools
Ability to collaborate within and across teams
Strong experience programming in C++ with robust and efficient code

Itâs preferred if you have:

Experience specifically with applying Machine Learning to solve motion planning or related robotics problems
Experience with Reinforcement Learning and/or Learning from Demonstration
Experience with Deep Learning Models (e.g. RNN/LSTM, CNN, VAE, GAN, etc.)

Competitive Salary Offered
Opening date: 25 June 2020
"
Waymo,Research Scientist,https://waymo.com/joinus/1240891/,"Python, C++","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
The mission of the Waymo Research team is to develop machine learning solutions addressing open problems in autonomous driving, towards the goal of the safely operating Waymo vehicles in dozens of cities and under all driving conditions. As part of our work, we also initiate and foster collaborations with other research teams in Alphabet. Research areas that we are currently focusing on include perception, behavior prediction and reinforcement learning.
 
In this Research Scientist role, you will:

Research new machine learning problems, models and algorithms
Collaborate on deploying these models on the Waymo vehicles
Initiate and support collaborations with Alphabet researchers on autonomous driving-related research topics
We expect your scope to grow over time as you become an expert in some of the machine learning research areas above, and youâll be initiating and leading increasingly ambitious new projects

 
At a minimum weâd like you to have:

Ph.D. in Computer Science or related quantitative field, or B.S./M.S. in Computer Science or related quantitative field with 5+ years of relevant experience
Experience as a self-directed engineer / research scientist who excels at driving new research ideas from conception and experimentation to productionization
Strong knowledge of machine learning; experience with machine learning research and the experiment-launch-iterate cycle in one or more projects
Outstanding technical leadership and communication skills to lead new research areas and multi-team collaborations
Strong programming skills in C++ or Python
Experience with distributed computing (MapReduce, Flume, etc)

Itâs preferred if you have:

Expertise in one or more of the following areas is a plus: deep learning, computer vision, robotics, reinforcement learning, behavior prediction, SLAM
Research experience and publications in machine learning or related fields is a plus
Experience of using TensorFlow or similar large-scale machine learning systems in production is a plus.
Tech Lead experience is a plus

"
